INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	
INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	
1	1	1000	Buff0_1				g01_buff2		身体受击点	0	1	1	0	0		撕裂：持续掉血	-1	0	1	1	
2	2	1000	Buff0_2				npc_buff_19		身体受击点	0	1	1	0	0		中毒：持续掉血	-1	0	1	1	
3	3	1000	Buff0_3				g01_buff32		身体受击点	0	1	1	0	0		诅咒：持续掉血	-1	0	1	1	
4	4	1000	Buff0_4				g01_buff106		身体受击点	0	1	1	0	0		灼烧：持续掉血	-1	0	1	1	
5	5	1000	Buff0_6				g01_buff46_01		身体受击点	0	1	1	0	0		噬血：持续掉血	-1	0	1	1	
6	6	1000	Buff0_5				npc_buff_19		身体受击点	0	1	1	0	0		腐蚀：持续掉血	-1	0	1	1	
7	7	1000	Buff0_5							0	0	1	0	1	身体受击点	泄气：持续减气	-1	0	1	1	
8	8	1000	Buff0_6							0	0	1	0	1	身体受击点	安抚：持续减怒	-1	0	1	1	
9	9	1000	Medicine2_5							0	0	0	1	0		回血：持续回血	-1	0	1	1	
10	10	1000	Medicine2_6							0	0	0	1	0		回气：持续回气	-1	0	1	1	
11	11	1000	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		脚下光圈点	0	1	1	0	0		围困：移动不能，操作不能，不可被攻击	-1	0	1	1	
12	12	1000	Buff0_8							0	1	1	0	0		石化：移动不能，操作不能，不可被攻击	-1	0	1	1	
13	13	1000	Buff0_9	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		封穴：移动不能，操作不能，可被攻击，无法被打醒	-1	0	1	1	
14	14	1000	Buff0_10				npc_buff_02		头顶状态点	0	1	1	0	0		麻痹：移动不能，操作不能，可被攻击，无法被打醒	-1	0	1	1	
15	15	1000	Buff0_11				buff_hunmi_01		头顶状态点	0	1	1	0	0		昏睡：移动不能，操作不能，可被攻击，可被打醒	-1	0	1	1	
16	16	1000	Buff0_12				g01_buff38		头顶状态点	0	1	1	0	0		失魂：移动不能，操作不能，可被攻击，可被打醒	-1	0	1	1	
17	17	1000	Buff0_13				g01_em_buff38		头顶状态点	0	1	1	0	0		失明：随机移动，操作不能，可被攻击，无法被打醒	-1	0	1	1	
18	18	1000	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		头顶状态点	0	1	1	0	0		恐惧：随机移动，操作不能，可被攻击，无法被打醒	-1	0	1	1	
19	19	1000	Buff0_15		Skills\Sl\Sl_金刚伏魔圈_定身.wav		g01_buff27		脚下光圈点	0	1	1	0	0		定身：定身状态下可以攻击，但无法移动	-1	0	1	1	
20	20	1000	Buff0_15				npc_buff_09		脚下光圈点	0	1	1	0	0		缠绕：无法移动	-1	0	1	1	
21	21	1000	Buff0_16				buff_sangong_01		脚下光圈点	0	1	1	0	0		散功：无法使用任何门派技能	-1	0	1	1	
22	22	1000	Buff0_16				g01_buff34		头顶状态点	0	1	1	0	0		就擒：无法使用任何门派技能	-1	0	1	1	
23	23	1000	Buff1_1	g01_yanggetianjun		身体受击点	g01_buff100		脚下光圈点	0	1	1	0	0		僵硬：移动速度减慢	-1	0	1	1	
24	24	1000	Buff1_2							0	1	1	0	0		破绽：降低攻击	-1	0	1	1	
25	25	1000	Buff1_3							0	1	1	0	0		破绽：降低防御	-1	0	1	1	
26	26	1000	Buff1_4							0	1	1	0	0		破绽：降低攻击和防御	-1	0	1	1	
27	27	1000	Buff1_4							0	1	1	0	0		破绽：降低所有抗性	-1	0	1	1	
28	28	1000	Buff1_4	g01_geanguanhuo		身体受击点				0	1	1	0	0		破绽：降低外功防御	-1	0	1	1	
29	29	1000	Buff1_4							0	1	1	0	0		破绽：降低内功防御	-1	0	1	1	
30	30	1000	Buff1_4							0	1	1	0	0		破绽：所受伤害放大	-1	0	1	1	
31	31	1000	Buff1_4							0	1	1	0	0		破绽：减少发功持续时间	-1	0	1	1	
32	32	1000	Buff1_5							0	1	1	0	0		虚弱：降低血、气上限	-1	0	1	1	
33	33	1000	Buff1_5							0	1	1	0	0		虚弱：降低身法	-1	0	1	1	
34	34	1000	Buff1_5							0	1	1	0	0		虚弱：降低力量、灵气	-1	0	1	1	
35	35	1000	Buff1_5							0	1	1	0	0		虚弱：降低体力、定力	-1	0	1	1	
36	36	8800	FightSkillDaLi_7							0	1	1	0	0		虚弱：所受伤害放大	-1	0	1	1	
37	37	1000	Buff1_5							0	1	1	0	0		虚弱：降低攻击	-1	0	1	1	
38	38	1000	Buff1_6							0	1	1	0	0		僵硬：降低命中	-1	0	1	1	
39	39	1000	Buff1_7							0	0	0	1	0		强化：外功攻击	-1	0	1	1	
40	40	1000	Buff1_8							0	0	0	1	0		强化：内功攻击	-1	0	1	1	
41	41	1000	Buff1_9							0	0	0	1	0		强化：外功防御	-1	0	1	1	
42	42	1000	Buff1_10							0	0	0	1	0		强化：内功防御	-1	0	1	1	
43	43	1000	Buff1_11							0	0	0	1	0		强化：攻击	-1	0	1	1	
44	44	1000	Buff1_12							0	0	0	1	0		强化：防御	-1	0	1	1	
45	45	1000	Buff1_13							0	0	0	1	0		强化：攻防	-1	0	1	1	
46	46	1000	Buff1_14							0	0	0	1	0		强化：抗性	-1	0	1	1	
47	47	1000	Buff1_15							0	0	0	1	0		强化：冰防御	-1	0	1	1	
48	48	1000	Buff1_16							0	0	0	1	0		强化：火防御	-1	0	1	1	
49	49	1000	Buff2_1							0	0	0	1	0		强化：毒防御	-1	0	1	1	
50	50	1000	Buff2_2							0	0	0	1	0		强化：玄防御	-1	0	1	1	
51	51	1000	Buff2_3	cw_jieli		头顶状态点				0	0	0	1	0		强化：力量	-1	0	1	1	
52	52	1000	Buff2_4	cw_ningshen		头顶状态点				0	0	0	1	0		强化：灵气	-1	0	1	1	
53	53	1000	Buff2_5	cw_qiangshen		头顶状态点				0	0	0	1	0		强化：体力	-1	0	1	1	
54	54	1000	Buff2_6	cw_yihun		头顶状态点				0	0	0	1	0		强化：定力	-1	0	1	1	
55	55	1000	Buff2_7	cw_jiasu		头顶状态点				0	0	0	1	0		强化：身法	-1	0	1	1	
56	56	1000	Buff2_8							0	0	0	1	0		强化：命中	-1	0	1	1	
57	57	1000	Buff2_9							0	0	0	1	0		强化：闪避	-1	0	1	1	
58	58	1000	Buff2_10							0	0	0	1	0		强化：会心	-1	0	1	1	
59	59	1000	Buff2_11							0	0	0	1	0		强化：血上限	-1	0	1	1	
60	60	1000	Buff2_12							0	0	0	1	0		增强：外功攻击	-1	0	1	1	
